442,9,ELS,LS,MLS,MS,MCU,CU,ECU
256.0,157.0,63.0,171.0,77.0,121.0,51.0,198.0,167.0,0
256.0,74.0,59.0,91.0,84.0,51.0,50.0,107.0,193.0,1
256.0,323.0,46.0,359.0,98.0,277.0,23.0,419.0,256.0,3
256.0,179.0,37.0,231.0,120.0,104.0,21.0,258.0,256.0,4
224.0,383.0,49.0,419.0,89.0,356.0,18.0,489.0,224.0,3
256.0,90.0,72.0,158.0,183.0,1.0,22.0,231.0,256.0,5
224.0,275.0,75.0,325.0,147.0,250.0,25.0,423.0,222.0,4
256.0,98.0,44.0,116.0,79.0,40.0,14.0,141.0,256.0,2
256.0,119.0,63.0,222.0,221.0,33.0,1.0,343.0,256.0,5
256.0,130.0,21.0,145.0,42.0,107.0,11.0,161.0,205.0,1
256.0,213.0,54.0,268.0,111.0,191.0,11.0,360.0,256.0,3
256.0,241.0,40.0,295.0,119.0,136.0,12.0,377.0,255.0,3
224.0,230.0,62.0,315.0,176.0,143.0,1.0,426.0,224.0,5
256.0,162.0,68.0,258.0,184.0,74.0,1.0,349.0,256.0,5
256.0,283.0,28.0,426.0,196.0,1.0,1.0,460.0,256.0,5
224.0,223.0,136.0,228.0,142.0,212.0,130.0,239.0,211.0,0
224.0,253.0,1.0,401.0,196.0,183.0,1.0,528.0,224.0,5
256.0,262.0,55.0,319.0,214.0,262.0,1.0,432.0,256.0,5
256.0,132.0,41.0,222.0,216.0,1.0,1.0,283.0,256.0,5
256.0,239.0,135.0,243.0,141.0,234.0,132.0,246.0,178.0,0
256.0,217.0,30.0,261.0,96.0,102.0,9.0,341.0,256.0,3
256.0,121.0,66.0,132.0,81.0,93.0,51.0,168.0,240.0,1
256.0,279.0,25.0,319.0,90.0,211.0,4.0,391.0,256.0,3
256.0,77.0,81.0,128.0,188.0,67.0,9.0,284.0,256.0,5
256.0,270.0,92.0,279.0,107.0,246.0,87.0,292.0,216.0,0
256.0,197.0,84.0,291.0,209.0,96.0,40.0,389.0,256.0,5
